Subject,Lhip (post/pre/pre-post)_1,Lhip (post/pre/pre-post)_2,Lhip (post/pre/pre-post)_3,pfc_overlap (post/pre/pre-post)_1,pfc_overlap (post/pre/pre-post)_2,pfc_overlap (post/pre/pre-post)_3,tha (post/pre/pre-post)_1,tha (post/pre/pre-post)_2,tha (post/pre/pre-post)_3,Lstg (post/pre/pre-post)_1,Lstg (post/pre/pre-post)_2,Lstg (post/pre/pre-post)_3
LMP_KECK_091_7T_GLC,20.7,29.8,9.2,39.7,54.5,14.8,67.1,84.7,17.6,43.9,71.4,27.6
LMP_KECK_092_7T_GLC,19.9,33.4,13.5,37.4,59.8,22.4,47.4,79.2,31.8,44.9,73.5,28.6
LMP_KECK_093_7T_GLC,23.6,35.3,11.8,45.2,56.6,11.5,68.5,78.3,9.8,54.4,71.8,17.4
LMP_KECK_094_7T_GLC,11.8,22,10.2,30.7,48.3,17.6,80.1,86.6,6.5,27.4,46.4,19
LMP_KECK_095_7T_GLC,13.5,27,13.6,53.4,68.6,15.2,67.4,84.5,17.1,28.6,49.7,21.1
LMP_KECK_098_7T_GLC,26.4,38.6,12.2,46.6,60.6,13.9,65.2,77.8,12.5,65.7,74.7,9
LMP_KECK_099_7T_GLC,0,42.6,42.6,28.8,60.2,31.4,0,86.5,86.5,0,77.5,77.5
LMP_KECK_100_7T_GLC,15.9,35.6,19.7,31.8,57.8,26,65.6,85.5,19.9,28.7,64.4,35.7
LMP_KECK_101_7T_GLC,22.9,34.1,11.2,43,59.8,16.8,73,80.8,7.8,63.3,75.8,12.4
LMP_KECK_102_7T_GLC,10.2,21.2,11,27.1,59.8,32.8,34.8,82.8,48,47.7,66.4,18.6
LMP_KECK_103_7T_GLC,13.3,34.6,21.2,39.6,38.4,-1.2,26.3,72.5,46.1,32.3,68.8,36.5
LMP_KECK_104_7T_GLC,17,29.2,12.3,48.7,67.8,19.2,67.7,77.8,10.1,60.2,73.6,13.4
LMP_KECK_105_7T_GLC,2.5,40.3,37.8,42.4,49.6,7.2,34.5,86,51.5,11.5,62.9,51.5
LMP_KECK_107_7T_GLC,2.9,27.1,24.2,41.4,56.8,15.4,26.5,71.8,45.3,19.3,70.5,51.2
LMP_KECK_108_7T_GLC,16.3,30.3,14,35.1,57.9,22.8,68.8,79.7,10.9,37.6,55.3,17.7
LMP_KECK_109_7T_GLC,18.3,39.3,21,24.2,59.2,34.9,62.4,83.4,21,52.1,73.2,21.1
LMP_KECK_111_7T_GLC,14.2,40.9,26.8,56.4,64.9,8.5,72.6,90.2,17.6,29.9,68.3,38.4
LMP_KECK_112_7T_GLC,8.1,19,10.8,43.3,59.7,16.5,55.1,77.2,22.1,48.7,69.4,20.7
LMP_KECK_114_7T_GLC,16.6,28.2,11.6,35.4,53.8,18.4,65.8,78.4,12.6,47.2,64.1,16.9
LMP_KECK_115_7T_GLC,9.2,45,35.8,23.1,61.7,38.6,47.5,88.1,40.6,19,64.5,45.6
LMP_KECK_116_7T_GLC,10.5,38.5,28,41.6,49.9,8.3,33.7,85.2,51.5,35,72.5,37.5
LMP_KECK_117_7T_GLC,17.8,35,17.2,52.6,63.6,11,66.3,80.7,14.4,45.6,71.2,25.5
LMP_KECK_118_7T_GLC,3.8,15.2,11.4,39.8,67.4,27.6,45.4,81.2,35.8,12.3,73.4,61.1
LMP_KECK_119_7T_GLC,24.1,36.2,12.1,40.3,56.8,16.6,71.7,83,11.3,59.4,71.5,12.1
LMP_KECK_123_7T_GLC,25.1,40.4,15.3,44.9,61.9,17,76.3,87,10.8,55.7,70.8,15.1
LMP_KECK_124_7T_GLC,25.6,34.1,8.5,41,55.5,14.4,54.6,80.1,25.5,54.3,72.4,18.1
LMP_KECK_126_7T_GLC,18.1,39.3,21.2,45,55.6,10.6,72.6,86.7,14.1,59.1,75.4,16.3
LMP_KECK_127_7T_GLC,32.7,43.4,10.7,42,59.5,17.6,63.8,83.6,19.8,51.6,70.7,19.1
LMP_KECK_128_7T_GLC,8.1,15.6,7.6,22.9,39.1,16.2,54.2,74.1,19.9,26,61,35
LMP_KECK_130_7T_GLC,12.1,35.2,23.1,31.5,49,17.5,36.4,74.5,38.1,33.1,72.8,39.7
LMP_KECK_131_7T_GLC,3.5,17.1,13.7,33.7,64,30.3,52.7,76,23.3,21.2,49.8,28.6
mean,15,32.4,17.4,39,57.4,18.4,55.6,81.4,25.8,39.2,67.9,28.6
variance,65.09,71.14,80.67,74.78,51.84,77.87,340.76,23.17,321.00,292.83,63.84,255.55
SD,8.07,8.43,8.98,8.65,7.20,8.82,18.46,4.81,17.92,17.11,7.99,15.99
